epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53236,1.92349,4.47238,1.96847,4e-05,0.01282,2e-05,0,nan,nan,nan,0.0847,0.0017,0.0017
2,8.2109,2.57223,3.44568,2.50694,4e-05,0.01282,2e-05,0,nan,nan,nan,0.068437,0.003437,0.003437
3,11.9192,2.33834,3.06922,2.30281,4e-05,0.01282,2e-05,0,nan,nan,nan,0.0521092,0.0051092,0.0051092
4,15.6335,2.37579,3.07312,2.34596,4e-05,0.01282,2e-05,0,nan,nan,nan,0.0357166,0.0067166,0.0067166
5,19.4508,2.31088,3.01038,2.24475,0.00158,0.24359,0.00134,0.00048,nan,nan,nan,0.0192592,0.0082592,0.0082592
